Entity;Code;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Somalia;32;6,7;1,2;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,1;4,6;3,4;3,4;4,2;5;4,6;6;6,5;6,8;7,8;10,8
South Africa;;112,5;107,1;108,6;93,8;87,4;76;79,4;74,5;57,8;53,2;41,5;37,4;40,3;38,1;37;53,3;63,6;72,4;70,5;70,2;64,7;69,9;80,5;87,2;84,2;75,9;70,6;62,2;54,7;62,9;62,3;58,1;53,8;55,6;52,4;45,8;44,6
South Sudan;33;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;70,9;71,9;104,2;67,5;68,9;104,9;93,8;89,5;114,6;103,7;12,2;6,9;15;18,1;12,2;19,7;47,8;96,5;171,6
Sudan;�?34;17,7;...;54;61,4;8,1;11,1;9,5;5,7;4,3;3,8;9,9;16;21,4;13,8;16,8;13,5;41,1;37,7;52,1;75;97,3;93,3;...;...;...;...;...;57,8;67,6;104,6;24,1;16,1;20,2;7,9;...;...;...
Eswatini;�35;11,2;10,6;16,6;18;22,7;24,7;26,3;30;27;25,7;25,4;25,2;23,6;18,8;17,4;30;39,9;55,3;54,1;56,9;60,9;68,9;92,1;95,6;80,9;76,3;71,8;64,6;70,3;76,1;82,4;73,7;64,8;69;68,6;57,6;64,4
Tanzania;;5,1;4,2;3,4;4,1;3,6;2,1;2;2,8;3,3;3,8;4,2;3,9;4;4,3;3,9;3,4;3,4;3,6;3,7;4,1;4,6;5,1;6,4;6,8;7,7;9,2;10,2;10,1;10,3;10,3;10,6;10,6;11,3;12,3;13,7;14,4;13,6
Togo;;11,6;10,9;12,9;11,3;11,8;11,7;6,2;7,1;...;...;...;...;...;...;...;5,3;5,6;5,8;...;...;9,1;8,5;8,6;8,6;9;10,1;11,3;9,2;10,6;11,1;12,8;20,4;19,1;22,7;37,5;30,1;20,8
Uganda;;8,7;8,4;6,2;4,1;2,8;3,3;5,3;6,2;6,5;6,5;7;7;6;5,6;5,7;5,9;7,3;7,9;7,7;8,6;10,4;9,5;19,1;18,5;10,4;8,6;9,1;8,3;8,4;8,8;10;15,3;22,5;23,6;19,8;20,4;22,6
Zambia;�;11,9;22,4;18,1;10,9;12,1;6,2;7,4;6,4;4,3;4,8;...;5,8;...;...;...;...;8,8;12,1;17,3;18,8;21,7;16,7;20,4;21,8;23,6;25,2;28,4;23,1;18;19,8;21,3;16;11,3;11,3;16,4;18,5;16,6
Zimbabwe;�?36;43,1;42;41,6;36,6;28,1;23;22,8;24,1;26,4;27,7;...;22,5;29,2;24;56,3;16;20,8;10,6;12,9;...;...;...;7,4;14,7;23,2;25,6;26,1;26,3;24,7;23,2;28,2;36,1;15,7;30,3;20,9;53,7;6
Belize;;...;24,6;26,3;25,6;28;31,8;40,1;40,1;38,5;43,9;...;...;30;30,4;31,1;32,9;35,4;38,8;43,3;47,1;62,4;56,1;48,4;47,6;46;52,6;57,7;55,9;60,3;62,5;61,9;63,8;67,1;67,9;70;74,9;72,8
Costa Rica;37;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
Cuba;�38;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;26,5;5,5;7;6,8;7,4;7,9;8,2;8,3;8,3;11,2;10,6;11,1;10,5;11;10,9;11,4;...;...;...;...;...;...
Dominican Republic;;7;7,7;6,8;4,7;8,6;12,8;13,2;10,8;13,4;18,6;19,3;20,9;29;35,4;30,9;17,5;16,9;29,7;27,9;29,2;35,1;33,3;36,4;35,3;39,6;37,8;42,7;44,1;45,7;50,2;55,4;56,6;54,7;55,2;69,2;83,9;86,2
El Salvador;39;34,8;40,6;30,6;26,6;24,2;20,7;19,2;19,5;19,2;19,3;18,9;19,5;18,6;25,3;27;21,1;21,3;22,1;23,7;27,6;28,7;31,4;33,2;36,3;36,8;38,8;38;40,1;40;42;47,4;51;55,3;56,3;73,2;72,2;67,2
Guatemala;;17,4;17,5;14,9;13;16,4;15;15,4;15,6;13,5;12,3;12,7;11;13,6;16,6;13,1;14,4;9,1;8,1;9,9;10,1;12,1;10,5;11,8;13,5;15;16,4;15,8;15,9;18,1;16,7;16,3;19,5;19,9;19,3;24,9;24,3;22,7
Haiti;�40;0,3;0,3;0,4;0,3;0,2;0,2;0,2;0,3;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;0,4;0,5;0,5;0,6;0,6;0,9;1,1;1,4;2,6;1,1;1;1,7
Honduras;41;28,4;28,9;13,7;9,4;...;7,6;...;...;...;...;...;...;8,1;9,4;9,3;11,7;8,4;8,5;10;12,4;16,7;19,4;20,6;23,7;24,3;28,9;26,9;31,5;35,8;38,7;37,1;39,8;34;41,2;44,2;49,6;54,1
